,bugged_date,receipt_date,deputy_id,political_party,state_code,deputy_name,receipt_social_security_number,receipt_description,establishment_name,receipt_value,year,month,day_of_week
216363,0,2011-12-26 00:00:00,2442,SEM PARTIDO ASSOCIADO,Vazio,Liderança Do Psdb,62652961000138,Maintenance of Office,AGENCIA ESTADO LTDA,8275,2011,12,0
216364,0,2011-12-26 00:00:00,2442,SEM PARTIDO ASSOCIADO,Vazio,Liderança Do Psdb,62652961000138,Maintenance of Office,AGENCIA ESTADO LTDA.,9432,2011,12,0
216365,0,2011-09-27 00:00:00,2442,SEM PARTIDO ASSOCIADO,Vazio,Liderança Do Psdb,10242721000161,Maintenance of Office,CRC TECNOLOGIA DA INFOMAÇÃO LTDA,5112,2011,9,1
216366,0,2011-10-27 00:00:00,2442,SEM PARTIDO ASSOCIADO,Vazio,Liderança Do Psdb,38010591000150,Maintenance of Office,MICRO TRAINING SERVIÇOS DE INFORMATICA LTDA,77,2011,10,3
216367,0,2011-08-15 00:00:00,2442,SEM PARTIDO ASSOCIADO,Vazio,Liderança Do Psdb,05256794000172,Fuels and lubricants.,AUTO POSTO LS COM. DE DERIVADOS DE PETROLEO LTDA,106,2011,8,0
216368,0,2011-08-29 00:00:00,2442,SEM PARTIDO ASSOCIADO,Vazio,Liderança Do Psdb,00306597001098,Fuels and lubricants.,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,80,2011,8,0
216369,0,2011-10-04 00:00:00,2442,SEM PARTIDO ASSOCIADO,Vazio,Liderança Do Psdb,00306597001179,Fuels and lubricants.,CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,20,2011,10,1
216370,0,2011-09-02 00:00:00,2442,SEM PARTIDO ASSOCIADO,Vazio,Liderança Do Psdb,42044000184,Fuels and lubricants.,POLAR DERIVADOS DE PETROLEO LTDA,50,2011,9,4
216371,0,2011-10-18 00:00:00,2442,SEM PARTIDO ASSOCIADO,Vazio,Liderança Do Psdb,42044000184,Fuels and lubricants.,POLAR- DERIVADOS DE PETROLEO LTDA,50,2011,10,1
216372,0,2011-08-12 00:00:00,2442,SEM PARTIDO ASSOCIADO,Vazio,Liderança Do Psdb,05454390000193,Fuels and lubricants.,POSTO MONUMENTAL,113,2011,8,4
